SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
513142,BALASORE    ,X ,Q,18.1,18.1,17.2,17.7,17.7,18.1,189,36310,632167,
513149,ACROW INDIA ,XT,Q,125.65,125.65,125.65,125.65,125.65,119.7,1,81,10177,
513179,NAT STL AGRO,B ,Q,4.64,4.64,4.25,4.39,4.39,4.64,7,351,1545,
513216,UTTAM GALVA ,B ,Q,10.2,10.55,10.2,10.27,10.35,10.3,93,15982,165531,
513228,PENNAR STEEL,B ,Q,33.85,34.15,33.25,33.45,33.25,34.8,121,18795,633871,
513262,ST.STR.WHEEL,B ,Q,830,840.9,825,832.45,832.45,852.2,86,350,291441,
513269,MAN IND.(I) ,B ,Q,64.05,65.6,64.05,65,65.05,65.2,54,5129,333990,
513291,PREM PIPES  ,XT,Q,16.3,16.3,16.3,16.3,16.3,16.6,7,1725,28117,
513295,IMEC        ,X ,Q,1.71,1.71,1.71,1.71,1.71,1.8,1,100,171,
513335,METALFORGE  ,B ,Q,8.13,8.44,8.13,8.13,8.13,8.55,32,1829,14872,
513349,AJMERA      ,B ,Q,163,165.5,158,160.1,160.1,166.9,109,2891,470441,
513353,COCHIN MIN. ,X ,Q,168,168,165.5,167,167,168,9,444,73965,
513361,ISW LTD     ,X ,Q,1,1,0.95,1,1,0.97,30,22574,21876,
513369,RAJKUMAR FRG,X ,Q,33.25,35.25,32.55,35.25,35.25,33.6,6,126,4134,
513375,CARBORUNDUM ,A ,Q,354.65,355,351.05,354.65,353.05,354.6,180,3231,1143050,
513377,MINERAL&METL,A ,Q,25.5,25.8,25.25,25.45,25.45,25.65,291,77328,1970666,
513405,PENNAR ALUM.,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,1,700,133,
513418,SMFIL       ,Z ,Q,0.69,0.69,0.69,0.69,0.69,0.72,2,200,138,
513434,TATA METALIK,A ,Q,615,636.95,603.9,614.85,636,618.4,324,2896,1767250,
513446,MONNETISPA  ,B ,Q,24,24,23.5,23.7,23.55,24,45,16665,394785,
513472,SIMPLEX CAST,X ,Q,64.7,65.95,61.45,62.4,62.4,68.85,32,2706,173489,
513498,SOUTH.MAGNES,XT,Q,31,31,30.9,30.9,30.9,31.5,3,155,4790,
513502,BARODA EXTR.,XT,Q,0.22,0.22,0.22,0.22,0.22,0.23,3,1410,310,
513509,KALYANI FORG,T ,Q,285.1,285.1,285,285,285,287.4,2,20,5701,
513511,PANCH.STEEL ,X ,Q,35.05,35.1,35.05,35.1,35.1,37.85,2,6,210,
513513,ADITYA ISPAT,X ,Q,7.25,7.35,7.25,7.35,7.35,7.25,3,7100,52155,
513515,S.R.INDUS.  ,X ,Q,3.09,3.09,2.81,2.81,2.81,2.95,15,2331,6721,
513517,STEELCAST   ,X ,Q,152.1,155,150,150,150,155.1,11,615,92914,
513519,PITTIENG    ,B ,Q,50.3,52.5,50.1,51.75,52,51.35,81,3606,184979,
513528,GLITTEK GRAN,X ,Q,1.61,1.61,1.61,1.61,1.61,1.54,2,1000,1610,
513554,MAHA STEEL  ,B ,Q,142,154,142,151.5,150,147,26,1664,245130,
513566,NOVA IRON&ST,XT,Q,5.01,5.01,4.76,4.93,5.01,5.01,4,361,1802,
513599,HIND.COPPER ,A ,Q,45.85,45.85,44.3,45,45.1,45.85,399,97376,4386927,
513605,SRIPIPES    ,B ,Q,207,208.9,201.3,202.7,201.4,209.15,105,3942,813320,
513642,AXEL POLYMER,XT,Q,10.22,11.28,10.22,11.28,11.28,10.75,2,610,6244,
513683,NLCINDIA    ,A ,Q,65,65.2,64,64.75,64.75,65.15,93,10437,675765,
513687,SPECTRA IND.,XT,Q,4.58,4.58,4.58,4.58,4.58,4.82,6,132,604,
513691,JMT AUTO LTD,B ,Q,2.28,2.28,2,2.07,2.01,2.18,33,56163,114844,
513693,KIC METALIKS,X ,Q,72.05,78.7,72,78.55,78.55,72,11,209,15545,
513703,KUMAR WIRE  ,XT,Q,35.85,35.85,35.85,35.85,35.85,34.15,1,5,179,
513709,SHILP GRAVUR,X ,Q,93,99.45,93,99,99.45,99,39,2737,261447,
513713,WHITEORG    ,X ,Q,19.65,19.7,18.7,19.5,19.5,19.15,363,76568,1472510,
513729,ARO GRANITE ,B ,Q,50.5,52.95,50.1,52.95,52.95,50.5,6,732,37473,
514010,HIM.FIBRES  ,X ,Q,2.4,2.4,2.35,2.35,2.35,2.45,2,275,647,
514028,RAJKAMAL SYN,XT,Q,11.04,11.04,11.04,11.04,11.04,11.62,1,3,33,
514030,DEEPAK SPINN,X ,Q,97,97,96.5,96.55,96.55,96,12,2414,233059,
514034,JBF IND.LTD ,B ,Q,20.8,21.8,20.8,21.15,21.15,21.4,6,171,3663,
514036,LOY.TEX MILL,X ,Q,382.1,390,380,382.05,382.05,386.1,45,1407,542447,
514043,HIMAT.SEIDE ,B ,Q,213,213,207.65,208.65,208,214,157,5831,1222207,
514045,BSL LTD.    ,B ,Q,39.2,39.2,38,38.1,38,39.4,9,1186,45300,
514087,PBM POLYTEX ,X ,Q,76.1,78.1,76.1,78.1,78.1,76,3,213,16211,
514142,TT LTD.     ,B ,Q,50.05,54.25,50.05,53.9,53.9,51.1,3,45,2268,
514162,WELSPUN (I) ,A ,Q,53.5,53.8,52.5,52.95,52.95,53.5,508,123268,6541196,
514165,IND.ACRYLICS,X ,Q,12.06,12.06,12.06,12.06,12.06,11.49,31,32272,389200,
514167,GANESH ECOSP,B ,Q,332.75,332.75,318.05,326.9,327,334,5,76,25007,
514171,CEETA IND.  ,XT,Q,7.03,7.03,7.02,7.02,7.02,6.7,3,126,884,
514175,VARDHMAN POL,T ,Q,7.45,7.45,7.3,7.3,7.3,7.55,4,320,2362,
514183,BLA ROS IND ,X ,Q,42.25,44.1,42,43.35,43.95,43.65,29,1595,68622,
514211,SUMEET INDUS,B ,Q,3.7,3.74,3.63,3.63,3.63,3.7,9,1492,5519,
514215,BINNY LTD.  ,X ,Q,117,117,105,109.45,110,114.5,72,9275,1042775,
514221,KLIFESTYLE  ,XT,Q,0.2,0.2,0.2,0.2,0.2,0.2,3,3000,600,
514223,RAMGOPAL POL,T ,Q,1.97,1.97,1.97,1.97,1.97,2,1,100,197,
514234,SANGAM INDIA,B ,Q,57.2,58.95,57,58.4,58.4,58.4,4,54,3089,
514266,ZENITH FIBRE,X ,Q,51,58,50.5,52.5,58,52.25,23,1288,65617,
514272,BHILWARA SP.,X ,Q,12.13,12.13,11.4,11.93,12,12,7,3000,35434,
514274,AARVEE DENIM,B ,Q,23.8,23.8,22.55,23,23,22.35,6,730,16779,
514280,SANRHEA TECH,XT,Q,16.55,16.55,16.55,16.55,16.55,15.8,1,500,8275,
514286,ASHIMA LTD. ,B ,Q,10.5,11.5,10.2,11.1,11.1,11.23,19,4077,45721,
514300,PIONEER EMB ,T ,Q,20.7,21.15,20.45,20.8,20.45,21.45,5,1577,32721,
514302,VIPPY SPIN. ,X ,Q,39.05,39.05,39.05,39.05,39.05,39.3,2,70,2733,
514322,KAMADGIRI   ,X ,Q,77.5,84.5,77.05,81.4,84.5,85.5,11,200,15803,
514326,PATSPIN INDI,B ,Q,10.2,10.65,10,10.25,10.25,10.2,16,3300,33978,
514330,OVERSEAS SYN,X ,Q,3.85,3.85,3.85,3.85,3.85,4.05,7,5580,21483,
514332,NEOINFRA    ,XT,Q,24.1,24.1,24.1,24.1,24.1,23,2,105,2530,
514394,AJIL        ,B ,Q,53.1,53.1,53.1,53.1,53.1,54.15,33,7391,392462,
514418,MANORG      ,X ,Q,528,558.25,523,558.25,558.25,531.7,238,15010,8282626,
514428,HINDU.ADHESI,X ,Q,70,70.9,67.9,70,70,72,17,605,41987,
514442,SRI KPR IND ,X ,Q,15.5,15.5,15.5,15.5,15.5,15.5,1,2485,38517,
514448,JYOTI RESINS,X ,Q,167.75,167.75,145,151.85,147.25,156.85,51,2461,365949,
514450,MAHA.RUBTECH,X ,Q,36,39.6,34.25,39.6,39.6,39.6,10,942,35665,
514470,WIMSOME TEXT,B ,Q,24,24,24,24,24,24.1,3,400,9600,
514474,FAIRDEAL FIL,X ,Q,100.05,105.45,100.05,100.05,100.05,105.45,4,220,22551,
515018,REG.CERAMIC ,T ,Q,2.66,2.66,2.66,2.66,2.66,2.8,8,2000,5320,
515030,ASAHI IN.GLA,A ,Q,234.9,238,232.6,235.4,235.2,235.05,158,14355,3373066,
515037,MURD.CERAM  ,B ,Q,18.75,19.3,18.65,19.15,19.25,18.8,12,1576,30004,
515043,SAINT-GOBAIN,X ,Q,55.3,56.3,54.25,54.45,54.45,55.35,231,20557,1137749,
515055,ANANTRAJ    ,B ,Q,29.35,30.1,29.3,29.85,30.1,29.6,110,19903,593538,
515085,RESTILE CER.,X ,Q,3.7,3.7,3.21,3.63,3.23,3.44,8,538,1951,
515093,MADHAV MARB.,B ,Q,38.4,39.2,38.4,39.2,39.2,39.8,5,236,9104,
515147,HALDYN GLASS,X ,Q,32.55,32.6,32,32.25,32.25,32.35,52,16067,518844,
516003,DUROPLY     ,X ,Q,80.25,82.8,78.15,79.95,82.6,80.25,11,1076,85798,
516007,MANGALAM TIM,B ,Q,14.35,14.9,14.05,14.15,14.15,14.75,30,4299,61332,
516016,SHREYANS IND,B ,Q,147.5,151.5,141,147.85,149,149.25,80,4330,645499,
516022,STAR PAPER  ,B ,Q,122,122.9,119.2,120.15,120.15,123.4,106,5871,708199,
516030,YASH PAPERS ,X ,Q,49,51.65,48.3,48.6,48.6,50.75,290,71324,3532193,
516062,NAT.PLYWOOD ,XT,Q,25.65,26,25.65,26,26,27,4,449,11639,
516064,ARROWGREEN  ,B ,Q,72.05,73,71,71,71,72,10,1212,86206,
516072,VISHNU CHEM ,B ,Q,141,150,140.1,144.3,145,137.8,129,2103,308057,
516078,JUMBO BAG   ,Z ,Q,13.98,13.98,13.28,13.28,13.28,13.97,4,350,4683,
516082,N.R.AGARWAL ,B ,Q,306.85,306.85,299.4,300.2,300.05,306.85,37,1669,501505,
516086,SH.RAJES.PAP,XT,Q,6.45,6.45,6.45,6.45,6.45,6.15,3,5100,32895,
516096,SANGAL PAPER,XT,Q,139.6,154.05,139.6,145,145,146.75,7,300,43966,
516106,SH.KARTHIK P,X ,Q,10,10.3,10,10.3,10.3,10,6,248,2485,
517015,VINDHYA TELE,B ,Q,1300,1305,1258.25,1285.2,1289.8,1307.3,72,4675,5927430,
517041,ADORWELDING ,B ,Q,316,321,316,320.4,321,320,12,104,33032,
517044,INT.DATA MAN,XT,Q,9.88,9.88,9.88,9.88,9.88,9.41,1,1,9,
517059,SALZER ELEC ,B ,Q,120.05,123,120,120.3,120,124,12,553,66528,
517063,JETINFOTRAN ,X ,Q,29.05,31.95,29.05,31.9,31.9,31.8,8,738,22095,
517080,HIGHGROUND  ,B ,Q,6.75,6.75,6.3,6.7,6.31,6.84,15,2109,14120,
517119,PCS TECH    ,X ,Q,8.26,9,8.26,8.29,8.29,8.49,5,121,1007,
517146,USHA MART.LT,B ,Q,31.4,32.4,31,32.2,32.2,31.3,82,16073,511310,
517166,SPEL SEMICON,X ,Q,5.35,5.76,5.05,5.34,5.36,5.8,39,12489,66000,
517168,SUBROS LTD. ,B ,Q,267,267,259.2,259.7,260,267.45,51,854,222282,
517174,HONEYWELL   ,A ,Q,23200.05,23843.55,23200.05,23791.75,23791.75,23750.85,160,216,5079801,
517201,SWITCH.TECH.,XT,Q,53.05,53.05,53.05,53.05,53.05,55.65,1,1,53,
517206,LUMAX IND   ,B ,Q,1660,1709.95,1660,1700.05,1709.95,1661.05,8,15,25123,
517214,SPICEMOBI   ,B ,Q,7.6,7.86,7.6,7.61,7.86,8.44,3,232,1764,
517236,CALCOM VISIO,X ,Q,27,28.75,26.6,26.9,27,27.65,23,1525,41161,
517246,BCC FUBA    ,XT,Q,11.27,11.73,11.27,11.73,11.73,11.5,3,700,8027,
517271,HBL P SYS   ,B ,Q,24,25.25,24,24.7,24.7,24.5,93,8004,196377,
517288,GUJARATPOLY ,X ,Q,30.15,32.45,30.15,32.45,32.45,30.95,70,11292,365633,
517300,GUJ.IND.POW.,B ,Q,69.3,71.45,69.15,70.85,71,69.5,75,2975,209370,
517330,CMI LTD.    ,B ,Q,122.5,122.5,120.5,120.7,120.6,122.5,32,2770,334788,
517334,MOTHERSON SS,A ,Q,140,140,133,133.7,133.7,141.45,8272,641792,86487071,
517344,MINDTECK (I),B ,Q,40,40,35.6,36.2,36.2,36.85,25,803,28972,
517354,HAVELLSINDIA,A ,Q,769.95,769.95,745.4,749.55,749.55,768.85,916,42837,32259184,
517370,INCAP LTD.  ,XT,Q,35.1,35.1,35.1,35.1,35.1,35.1,1,20,702,
517372,GUJ.INTRUX  ,X ,Q,69.4,74.15,68,74.15,74.15,69,4,112,8013,
517380,IGARSHI MOT ,B ,Q,280,295,274.8,290.6,291.55,284.6,252,4744,1364312,
517385,SYMPHONY    ,A ,Q,1371.6,1374,1352.9,1356.75,1353.15,1380.2,22,73,99498,
517415,LEE&NEE SOFT,XT,Q,1.1,1.1,1.1,1.1,1.1,1.1,4,10000,11000,
517417,PATEL AIRTEM,X ,Q,103.5,103.5,96.05,98.65,99.7,99.15,15,715,69265,
517421,BFLYGANDHI  ,B ,Q,173.4,176.2,171.5,171.8,171.8,174.85,129,4706,815650,
517429,ATHENAGLO   ,XT,Q,40.5,42.5,39.05,41.25,40,40.5,8,342,13586,
517437,DUTRON POLY.,XT,Q,128.7,142.15,128.7,140.2,139,135.45,10,12,1671,
517447,R.S.SOFTWARE,B ,Q,28.5,30.45,28.3,29,29,28.6,59,4554,132375,
517449,MAGNA ELECTR,X ,Q,180.3,194,180.3,183.2,185,193,3,42,7694,
517467,MARSONS     ,Z ,Q,1.64,1.64,1.64,1.64,1.64,1.67,1,500,820,
517477,ELNET TECH. ,X ,Q,95.35,98,95.25,98,98,95.35,7,671,63964,
517494,ACCEL       ,X ,Q,8.19,8.3,7.76,8.07,8.23,8.23,9,2482,20168,
517498,WEBELSOLAR  ,B ,Q,25,25,23.75,24.1,23.95,24.85,130,13488,324241,
517500,ROTO PUMPS  ,X ,Q,157.2,157.2,132.2,149.8,149.8,142.95,2543,458189,67991802,
517506,TTK PRESTIGE,A ,Q,8098.95,8200,7974.5,8100.7,8026.65,8070,94,176,1424018,
517514,DHINDIA     ,X ,Q,19.1,20.75,19.1,20,20,19.8,22,3066,62312,
517518,LEEL        ,B ,Q,15.1,15.1,14.45,14.45,14.45,15.2,43,15656,227626,
517522,RAJ GLO WIR ,X ,Q,675,711,675,709.2,710,673.2,33,663,467977,
517530,SURANATP    ,B ,Q,4.2,4.2,4.2,4.2,4.2,4.44,1,500,2100,
517536,ONWARD TECHN,B ,Q,51.3,52.45,51.25,52.45,52.45,51.9,5,951,49336,
517544,CENTUM ELEC ,B ,Q,450,469.8,441,463.1,450,451,48,281,128416,
517546,ALFA TRANSFO,X ,Q,22.75,22.75,22.75,22.75,22.75,23.9,1,390,8872,
517548,STARLITE COM,X ,Q,16.95,16.95,15.25,16.6,16.6,16.4,11,424,6605,
517554,NHCFOODS    ,X ,Q,6.46,7,6.46,6.69,6.69,6.8,10,1850,12158,
517556,PVP VENT LTD,Z ,Q,3.23,3.23,3.23,3.23,3.23,3.4,2,1003,3239,
517562,TRIGYN TECH ,B ,Q,66.95,67.5,66.25,66.6,66.25,67.35,65,3242,217635,
517569,KEI INDUST. ,A ,Q,400,400,392.15,393.6,392.4,404.1,177,1901,751438,
517571,IMPPOWERS   ,B ,Q,35.2,36.4,35.2,36.4,36.4,37,5,539,19019,
518011,KEERTHI     ,XT,Q,60,62.9,58,62.9,62.9,60,9,229,13375,
518029,GUJ.SIDH.CEM,B ,Q,21,21.2,21,21.15,21.15,21.2,5,575,12136,
518091,ANJANI PORTL,B ,Q,136.05,149.35,134.15,136.75,140,141.15,39,1127,154247,
519003,MODINATURAL ,X ,Q,81.7,81.7,74.1,74.2,74.1,78,10,902,68098,
519031,SHAH FOOD(P),XT,Q,78.25,78.25,74.35,74.35,74.35,78.25,4,8,598,
519091,TASTY BITE  ,B ,Q,8846.95,8846.95,8700,8700,8700,8750,3,3,26247,
519097,RITESH INTER,XT,Q,5,5,5,5,5,5.15,1,161,805,
519105,AVT NATURAL ,B ,Q,23,23.35,22.5,23.05,23.25,23,54,7106,161388,
519126,HIND.FOODS  ,X ,Q,407,414.45,401,404.15,404.15,408.25,92,3571,1447531,
519136,NAHAR INDUST,B ,Q,39.2,39.3,39.2,39.3,39.3,40,6,522,20512,
519156,VADILAL IND ,B ,Q,564.05,587.05,533,535.5,535.5,559.8,131,1236,674939,
519183,ADF FOODS LT,B ,Q,245,250,241.3,249,249,251.3,26,514,126797,
519216,AJANTA SOYA ,X ,Q,22.85,22.85,20.3,20.95,20.95,21.3,18,1220,25447,
519224,WILLIAM.MAGO,B ,Q,30.1,33.65,30.1,31.7,31.95,32.6,25,1437,45692,
519242,SARDA PROT. ,XT,Q,9.15,9.15,8.3,9.15,9.15,8.73,4,1990,17358,
519248,JVL AGRO    ,Z ,Q,2,2.05,1.95,2.05,2.05,2.05,14,8213,16486,
519260,SANWARIA    ,B ,Q,8.55,8.55,7.99,8.33,8.31,8.62,513,187199,1556612,
519262,PRIMA AGRO L,XT,Q,10.69,10.69,10.19,10.19,10.19,10.19,4,7,71,
519279,MADHUR IND  ,X ,Q,7.87,7.87,7.87,7.87,7.87,7.5,1,2,15,
519287,MODERN DAIRI,XT,Q,3.9,3.9,3.72,3.73,3.72,3.9,14,3000,11184,
519295,BAMBINO AGRO,X ,Q,199,199,170.3,188.1,185.1,183.55,12,333,63100,
519307,VIKAS WSP   ,XT,Q,24.6,24.6,24,24.6,24.6,23.45,939,1285857,31619576,
519319,JATALIA     ,XT,Q,8.87,8.87,8.87,8.87,8.87,8.7,6,12492,110804,
519359,POONA DAL   ,X ,Q,24.9,24.9,23.5,24.05,24.45,24.85,17,2103,51667,
519421,KSE LIMITED ,XT,Q,1335.1,1354.95,1335,1340,1340,1344.7,33,499,668467,
519455,NARBADA     ,X ,Q,69.5,70,69.25,70,70,72.85,9,815,56715,
519457,VIRAT CRANE ,X ,Q,29,33,29,32.75,32.9,28.85,25,1981,64670,
519475,CHORDIA FOOD,XT,Q,150,150,149.55,149.55,149.55,157.4,10,580,86788,
519552,HERITGFOOD  ,A ,Q,486.45,491.5,474.05,480.35,478,492.5,203,2114,1025732,
519560,NEHA INTER. ,X ,Q,3.44,3.44,3.11,3.11,3.11,3.3,26,8604,27623,
519566,SIMRAN FARMS,X ,Q,81,86.95,81,84.3,84.3,85.75,59,4015,340060,
519570,LAKSHMI OVER,Z ,Q,3.15,3.15,2.96,2.96,2.96,3.11,3,1350,4186,
519588,DFM FOODS   ,B ,Q,279.9,279.9,259.75,265.4,274.85,266.95,18,343,90880,
519600,CCL PRODUCTS,A ,Q,258,258.8,255,258.05,258.05,259.2,114,1413,363908,
519602,KELLTONTEC  ,B ,Q,45.2,46.1,44.3,44.9,44.9,45,329,518869,23543124,
519612,MAHAAN FOODS,X ,Q,18.75,18.75,18.75,18.75,18.75,19.65,1,25,468,
520008,RICO AUTO   ,B ,Q,63,63.4,62,62.4,62.4,63.65,436,44495,2789907,
520021,OMAX AUTOS. ,B ,Q,72.25,72.5,72.2,72.5,72.5,73,3,300,21707,
520043,MUNJAL SHOWA,B ,Q,155,155,150,151.4,152.05,150.5,32,430,65331,
520051,JAMNA AUTO  ,A ,Q,54.6,54.6,52.5,52.9,52.5,53.75,464,46237,2453813,
520056,SUNDAR.CLAY ,A ,Q,2750,2781.95,2721.65,2724,2724,2763,33,115,315834,
520057,JTEKTINDIA  ,B ,Q,98,98,94.3,94.7,94.5,97.95,140,11861,1131757,
520059,MUNAUTO     ,B ,Q,50,50.8,50,50.55,50.25,50.45,52,2705,136427,
520066,JAYBH.MARUTI,B ,Q,232.5,248.95,232.5,236.45,236.45,239.55,198,2947,708524,
520073,RACLGEAR    ,X ,Q,73.2,74.4,73.2,73.2,73.2,73,25,4008,293710,
520075,SAMKRG PIST.,X ,Q,154.55,158.8,154.5,155.05,154.5,155.45,23,963,149320,
520086,SICAL LOG   ,B ,Q,129,129,120.2,125.25,125.25,124.5,130,3504,436009,
520111,RATNAMNI MET,B ,Q,880,888,875.05,884.9,884.9,885,32,2020,1787522,
520113,VESUVIUS IND,B ,Q,1101.25,1150,1101.25,1135.45,1140,1135,25,173,196951,
520119,AUTOMOTIVE S,B ,Q,50,53.2,50,52.35,52.35,51.75,23,554,28593,
520127,BALURGHAT TE,X ,Q,4.45,4.45,4.45,4.45,4.45,4.45,1,10,44,
520141,SIBAR AUTO  ,X ,Q,29.4,29.4,29.4,29.4,29.4,28,1,10,294,
520151,SHREY SH LOG,B ,Q,180,181,174,179.75,179.75,181.9,32,353,63026,
520155,STARLOG     ,X ,Q,20.8,20.8,20.4,20.4,20.4,19.85,2,26,530,
521014,EUROTEX IND ,B ,Q,14.46,14.46,14.46,14.46,14.46,14.46,2,250,3615,
521016,INDO COUNT  ,B ,Q,38,40,36.15,39.2,39.25,38.1,143,16894,651649,
521034,SOMA TEXTILE,T ,Q,4.21,4.21,4.21,4.21,4.21,4.43,1,2,8,
521064,TRIDENT     ,A ,Q,65.75,67.5,65.7,67.1,67.1,66.5,460,39782,2660443,
521070,ALOK INDS.  ,T ,Q,3.31,3.4,3.31,3.31,3.31,3.48,458,1250398,4139689,
521080,PASARI SPIN ,XT,Q,4.28,4.28,4.28,4.28,4.28,4.5,1,17523,74998,
521082,SPENTEX INDS,T ,Q,1.71,1.71,1.7,1.7,1.7,1.63,2,11,18,
521097,AMARJOTHI SP,X ,Q,87.5,87.55,86,86.05,86,87,20,1800,156430,
521105,OLYMPIA IND.,X ,Q,19.55,20.55,19.55,19.6,19.6,20.55,8,330,6584,
521113,SUDITI IND. ,X ,Q,23,23,22,22.35,22.95,23,21,4854,107588,
521141,ADITYA SPIN.,XT,Q,4.25,4.46,4.25,4.46,4.46,4.25,15,5933,26424,
521151,DHANLXMI FAB,X ,Q,31.2,31.2,31.2,31.2,31.2,29.75,2,100,3120,
521163,ZODIAC CLOTH,T ,Q,256.6,266,255,266,266,258.7,24,315,80505,
521167,FRONT BUSS  ,X ,Q,4.97,4.97,4.97,4.97,4.97,4.97,2,740,3677,
521180,SUPER SPIN. ,B ,Q,6.53,6.53,6.05,6.45,6.45,6.25,4,4500,28255,
521194,SIL INVEST  ,B ,Q,187,187,162.7,168.9,169,165.6,26,354,61084,
521200,SURYLAK.COTT,B ,Q,30.2,30.2,30.15,30.15,30.15,30.15,2,100,3015,
521206,SAMTEX FASH.,XT,Q,1.5,1.5,1.4,1.4,1.4,1.47,11,2304,3226,
521216,DHAN ROTO SP,X ,Q,28.7,28.7,28.7,28.7,28.7,30.2,2,350,10045,
521220,DAMOINDUS   ,B ,Q,37,40,37,39.25,38.75,40,6,1350,51301,
521226,UNI ROYAL IN,X ,Q,9.5,10.3,9.5,10.3,10.3,9.98,7,1461,14682,
521228,TATIA GLOB  ,X ,Q,0.2,0.2,0.2,0.2,0.2,0.21,5,50000,10000,
521234,SRI NACHAMAI,X ,Q,17.65,17.65,17.65,17.65,17.65,18.55,3,300,5295,
521240,SAMBANDAM SP,X ,Q,93,93,88,92.9,92.9,88,7,315,28493,
521248,KITEX GARMEN,B ,Q,99.3,104.95,98.65,99.1,98.65,99.5,38,1924,192696,
522001,CRANEX LTD. ,X ,Q,15.2,15.2,15.2,15.2,15.2,14.85,1,50,760,
522004,BATLIBOI LTD,X ,Q,14.35,14.45,14.3,14.3,14.3,14.35,9,1032,14866,
522005,AUSTIN ENGG.,X ,Q,56.25,57.95,56.1,57.95,57.95,58,5,273,15736,
522014,UNITED DRILL,X ,Q,105,112.4,104,107.4,109.45,106.7,31,1675,180115,
522017,FLUIDOMAT   ,X ,Q,109.75,114,104.05,110.4,110,105.15,50,1609,175811,
522029,WINDSOR MACH,B ,Q,68,69.2,67.1,67.9,68,68.6,208,75741,5185819,
522034,SHANTHI GEAR,B ,Q,124.05,125.95,123.3,125.45,125.95,124.75,12,736,91835,
522064,HONDA SIEL  ,B ,Q,1041,1058.75,1030.75,1044.95,1044.95,1052.3,45,159,165413,
522073,HITECHGEAR  ,B ,Q,270,270,268,268.05,268.05,270.35,16,917,246729,
522074,ELGI EQUIP  ,A ,Q,266,266,261.05,261.2,261.2,274.45,37,430,113245,
522101,KILBURN ENGG,X ,Q,38,38.95,37.1,37.6,37.5,39.55,13,676,25373,
522105,BIRLA PRETEC,X ,Q,16.6,16.6,16.2,16.5,16.5,16.65,104,21432,351311,
522108,YUKEN INDIA ,X ,Q,759.8,759.8,743,754.95,754.95,756.95,219,10377,7820834,
522113,TIMKEN (I)  ,B ,Q,561,565.55,555,560.55,555,561.25,41,394,220504,
522122,VOITH PAPER ,X ,Q,837,837,810,820,820,814.25,12,102,83385,
522134,ARTSON ENG  ,X ,Q,41.95,41.95,37.2,37.45,37.95,37.7,21,976,36570,
522152,SOLITAIR MC ,X ,Q,29.5,30.9,29,29.05,29,29.75,15,1572,45685,
522165,INDSIL HYD  ,X ,Q,56.35,57.85,54.5,55.5,55.5,55.1,35,8185,454879,
522183,ITL INDUSTRS,X ,Q,166.95,166.95,155,160.75,160.75,160.1,75,5103,811619,
522195,FRONTIER SPR,X ,Q,210,211.5,201.3,203.75,203.25,209.85,70,4751,971882,
522205,PRAJ IND.LTD,B ,Q,136.2,136.2,131.6,132.5,132.5,136.45,1051,89473,11943534,
522207,RASANDIK ENG,X ,Q,106.2,109.85,104.2,109.85,109.85,108.2,16,563,60025,
522209,YOGI SUNGWON,XT,Q,2.3,2.3,2.3,2.3,2.3,2.2,2,75000,172500,
522215,SWISS GLASS ,X ,Q,186.1,190,185,186.95,190,186.1,55,7586,1424798,
522217,GUJ APOIND  ,B ,Q,144.2,146.25,144.2,146.25,146.25,151,2,14,2033,
522229,TANEJA AERO.,X ,Q,30,31.5,30,30.45,30.3,30.65,24,3061,94076,
522231,CONART ENG. ,X ,Q,28.1,29.7,28,28.1,28,30.55,32,1961,55960,
522241,M.M.FORGINGS,B ,Q,545,545,545,545,545,541,3,90,49050,
522249,MAYUR UNIQ. ,B ,Q,314,318,301,308.35,308.35,316.5,94,2613,810629,
522251,CENLUB INDUS,X ,Q,66,66,63.05,63.5,63.5,66,6,577,36425,
522257,RAJOO ENGIN.,X ,Q,28,28.2,27,27.45,27.6,28,258,273166,7453240,
522261,DOLPHIN OFF.,B ,Q,43.25,43.9,42.45,42.85,42.6,44.1,262,36301,1560323,
522263,JMC PROJECTS,B ,Q,115,115.75,108.9,111.95,114,116,194,17500,1989059,
522273,AHMED.STEEL ,XT,Q,15.2,15.2,15.2,15.2,15.2,15.3,1,45,684,
522275,GET&D       ,A ,Q,249,250.95,242.1,243.45,243.45,251.5,118,959,236407,
522281,RAM RAT.WIRE,X ,Q,94.5,97.5,94.1,96.25,97,95.05,20,2948,282007,
522285,JAY NECO IND,T ,Q,5.9,5.9,5.61,5.61,5.61,5.73,17,16650,96883,
522287,KALPA.POWER ,A ,Q,472.55,472.55,465,465,465,472.55,68,1084,505134,
522294,T & I GLOBAL,X ,Q,81.2,83,81.2,83,83,81.2,7,1790,147322,
522295,CONTROL PRNT,B ,Q,260.95,268,256.7,260,260,260,28,587,153385,
523007,ANSAL BUILD.,X ,Q,43,43,40.05,41.3,41.3,41.35,11,255,10530,
523019,B.N.RATHI SE,X ,Q,22,22,20.5,21.2,21.2,19.55,7,493,10492,
523023,SINCLAIR HOT,X ,Q,328,328,325,327.6,326,325.25,13,574,187601,
523025,SAFARI IND. ,B ,Q,730,730,710,712.4,713.95,717.45,94,1067,762336,
